class,weibo_content,weibo_id
金融相关,发表了博文《中国的国内企业为何喜欢炒房？》最近，不少城市的房地产调控政策，都在限制以企业的名义购买住房。因为，企业炒作住房，不仅容易推高房价，而且也会影响企业对实业的投资，不利经济发展。而限制企业炒作,4268189418442330
金融相关,【乱象！超千家上市公司“炒房”近万亿，对企业投机“炒房”如何围堵？】以上海为例，备受关注的老牌豪宅翠湖天地4月10日开盘推出118套房源，据上海公证网公布的信息，共有385组客户参与上述楼盘摇号，其名单中的公司客户达214组，占比55.6%，超过了总认购数量的一半多（半月谈）,4268188789038180
金融相关,上午大盘冲高回落，国内政策信号已经够明确了，从资管新规到国七条，到昨天的6个稳定，CDR发行也暂缓了！正常思维大盘应该暂无杀跌的动力了，但早盘冲高后，上证50指数就被持续的抛盘打压，拖累市场步步走低，搞不动机构主力的意图是啥了！下午正常的走势是回升，但机构主力要发神经砸盘谁也拦不住。继续控制仓位观望，以不变应万变，静等大盘走势明朗。,4268188663765140
金融无关,#东方财富#国家药监局：会同多部门核查武汉生物百白破疫苗处置工作,4268187191813060
金融无关,【四川全面检查融资担保行业 严重违规将被吊销牌照】为加强融资担保行业监管，防范化解金融风险，促进行业规范健康发展，四川省金融工作局于7月下旬至9月底在全省开展融资担保行业全面检查，被检查机构如发现存在五种严重违规情况之一的，将被吊销融资担保业务资格。,4268186994171910
金融相关,发表了博文《汇率不是什么大风险这件事才可怕处理不好准备过几十年苦日子！》汇率不是什么大风险这件事才可怕处理不好准备过几十年苦日子！2018/8/1微信公众号“叶檀财经”有人非常担心人民币汇率失控下跌，,4268184904842500
金融无关,【八仙过海各显神通 BATJ开打区块链“圈地”大战】各种名目的加密货币在当下被炒的沸沸扬扬。阿里、百度、腾讯、京东、苏宁、小米等众多国内互联网巨头公司都已经加紧布局区块链领域。有着直接竞争关系的互联网商业巨头们，在先后进军区块链的同时，在区块链领域也都有着各自的侧重点。,4268183898515450
金融无关,#经济课堂#【各种税额计算公式 火速收藏！】不要为找不到增值税计算公式而发愁~小编为你送上各种税额计算公式大全，让你轻松找到要用的公式，收藏，备用。,4268183893975330
金融相关,RMB汇率下跌有什么可怕的？我最担心的是实体经济，国有企业。,4268183856695270
金融相关,【一文不值！？ST长生竟然被基金下调估值为0，2.5万投资者怎么办？】距离退市仅一步之遥的ST长生，今天迎来了连续第12个跌停，更惨的是，有基金公司将其估值直接调整为0了。8月1日，中信保诚基金发布公告，为维护基金份额持有人利益，7月31日起对旗下基金持有的“ST长生”按照每股0元进行估值。这意味着此前股价翻倍的“明星股”ST长生，如今在基金公司眼中已经一文不值，而其出事之前的市值达到239亿元。,4268183320357710
金融相关,【财联社午报】博览会概念异军突起 大基建题材继续活跃。,4268182867540200
金融无关,【刮痧刮得“红到发紫”并非好事】刮痧可以活血化瘀，促进人体自我免疫功能的恢复，对中暑、落枕、风寒感冒、颈肩痛有一定干预的效果。刮好痧后，皮肤看上去像出血，但如果刮多刮狠的话，会造成皮肤出血，破坏皮肤屏障，引起皮肤的局部红肿感染，加重肾功能负担。@科普中国,4268181340268370
金融无关,赵晓教授主讲，精彩值得期待,4268180626610210
金融无关,【13部门整治骚扰电话！推销电话、骚扰电话、诈骗电话都可以举报了】目前市面上不少“黑科技”，可以改变来电显示的号码，用户收到后感觉像是一个很“正经”的号码，不由自主就接听了。但以后，这这种方式或失效：,4268179003839560
金融无关,【国家药监局会同多部门组成核查组赴武汉核查百白破疫苗处置工作】为进一步落实习近平总书记、李克强总理重要指示批示精神，保障人民群众身体健康，8月1日，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉开展核查。,4268177082436540
金融无关,【面条最简单的做法】午餐时间到啦，不揉面，不擀面，5分钟做一锅，营养又美味[馋嘴],4268176352766900
金融相关,【沪指冲高回落跌0.32%，自贸港板块逆势大涨】截至上午收盘，沪指跌0.32%，报收2867点；深成指跌0.33%，报收9148点；创业板涨0.21%，报收1564点。,4268173505125830
金融无关,【国家药监局：会同多部门组成核查组赴武汉核查百白破疫苗处置工作】财联社8月1日讯，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉就武汉生物制品研究所有限责任公司（简称武汉生物）2017年效价不合格百白破疫苗处置工作开展核查。,4268173416633130
金融相关,【国家药监局：组成核查组赴武汉核查百白破疫苗处置工作】为进一步落实习近平总书记、李克强总理重要指示批示精神，保障人民群众身体健康，8月1日，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉就武汉生物制品研究所有限责任公司（简称武汉生物）2017年效价不合格百白破疫苗处置工作开展核查。,4268173026867950
金融相关,【一边防风险一边提信心 各地互金协会祭出“组合拳” “理财计划”类产品为清理重点】面对6月份以来的集中风险，各地互金协会正在通过一系列“组合拳”，一边防范规避风险，一边提振投资者和网贷平台的信心。《证券日报》记者浏览各地互金协会的举措，发现几乎都要求平台清理“理财计划”类产品。在流动性风险大增的背景下，“理财计划”类产品因可能存在期限和规模错配，易受流动性风险冲击，而更受关注。,4268172569472290
金融无关,"【星巴克在华遭遇“中年危机""：利润率9年来首次下滑，准备用这招来讨好中国人？】星巴克上周发布的2018年第三季报显示，在一直寄予厚望的中国/亚太区市场，星巴克虽然收入和运营收入同比上涨46%和5%，但营运利润率却下降7.6个百分点至19%。据了解，这是星巴克近9年来该数据的首次下降。面对在中国市场激烈的竞争，星巴克也想出了对策——消息称，为了扭 在中国市场上销量下滑的局面，星巴克准备与电商巨头阿里巴巴合作，推出送咖啡服务。",4268172208581260
金融相关,【午评：三大股指冲高回落沪指跌0.32% 自由贸易港领涨】截至午间收盘，沪指报2867.33点，跌0.32%，深成指报9148.52点，跌0.33%，创指报1564.25点，涨0.21%。从盘面上看，自由贸易港、造纸、水泥居板块涨幅榜前列，钢铁、燃料乙醇、生物质能居板块跌幅榜前列。,4268171567977600
金融无关,#我和军队的不解之缘#【我与战舰共成长[心]】从出海就吐的“晕船大王”到舰艇“首席操舵手”，他操舰航行距离可绕地球21圈；从按时作息的“养生少女”到保障舰艇安全的守护神，她值了700次夜班。每个数字背后都是他们仗剑闯大洋的蓝色印记。建军91周年，致敬！#同心共筑强军梦#,4268171525328360
金融相关,#上证快讯#【三大股指冲高回落 上海自贸概念表现活跃】沪指早盘冲高回落，震荡翻绿；创业板指一度涨逾1%，但临近午盘也涨幅收窄。盘面上，上海自贸概念板块表现活跃，东方创业涨停，长江投资涨逾6%；在线旅游、国产芯片等板块也涨幅居前。另一方面，房地产板块领跌，钢铁、水泥、采掘等周期板块高开低走，板块内多只个股翻绿。,4268171017646970
金融相关,【午评：三大股指冲高回落沪指跌0.32% 自由贸易港领涨】截止午间收盘，沪指报2867.33点，跌0.32%，深成指报9148.52点，跌0.33%，创指报1564.25点，涨0.21%。从盘面上看，自由贸易港、造纸、水泥居板块涨幅榜前列，钢铁、燃料乙醇、生物质能居板块跌幅榜前列。,4268170094660790
金融无关,发表了博文《钮文新：央行要把好经“念”好》“收短放长”是正确的政策选择，但“收短和放长”之间是不是需要平�？当然需要。如果“收短”过力，“放长”不足，那货币政策依然会偏离中性，那同样是错误的。另外，越,4268169575596760
金融相关,【国家药监局：会同多部门组成核查组赴武汉核查百白破疫苗处置工作】8月1日，按照国务院要求，国家药监局会同卫生健康委等部门组成由国家药监局党组书记、副局长李利任组长的核查组，赴武汉就武汉生物2017年效价不合格百白破疫苗处置工作开展核查。,4268168958665190
金融无关,【国家药监局：会同多部门组成核查组赴武汉核查百白破疫苗处置工作】#狂犬疫苗生产记录造假##百白破疫苗造假#8月1日，按照国务院要求，国家药监局会同卫生健康委等部门，赴武汉就武汉生物制品研究所有限责任公司（简称武汉生物）2017年效价不合格百白破疫苗处置工作开展核查。,4268168606250600
金融相关,收摊！不知道怎么点评上午走势了，你们说吧。,4268168338192150
金融相关,国家药监局副局长李利带队，会同多部门组成核查组，赴武汉核查百白破疫苗处置工作。,4268168111233600
金融相关,【预期股指期货交易松绑 量化对冲私募欲发产品扩规模】对于监管层表态抓紧恢复股指期货常态化交易的新闻，有不少私募表示应该开始策划量化策略产品方案了，如磐耀资产辜若飞在朋友圈表示，“有代销能力的期货公司看过来，磐耀资产接下来将会发行一款混合策略的产品”。,4268165188124220
金融相关,【中国基准煤炭价格下跌5% 为3月以来最大跌幅】这是3月5日以来的最大跌幅，7月累计跌幅为10%；上周中国六大发电企业煤炭库存下降1.截至7月20日当周，库存触及逾三年高位。,4268165158494350
金融相关,【“爆雷”引发信任危机 7月份网贷成交额环比骤降25%】6月份开始，网贷行业开始集中爆雷，问题平台数量不断增加。而爆雷也严重影响了投资人对网贷行业的信心。据《证券日报》记者从第一网贷获取的7月份P2P网贷行业数据显示，7月份全国P2P网贷成交额1425.65亿元，同比骤降61.26%，环比大降25.28%。,4268165024296910
金融无关,【中央军委印发《军队实施党内监督的规定》《军队实行党的问责工作规定》】新华社北京8月1日电日前，中央军委印发《军队实施党内监督的规定》《军队实行党的问责工作规定》，自2018年8月1日起施行。两个《规定》以习近平新时代中国特色社会主义思想为指导，全面贯彻习近平强军思想，着眼实现党在新时代的强军目标，深入推进政治建军、改革强军、科技兴军、依法治军，聚焦全面从严治党，坚持旗帜引领、把握根本遵循，坚持问题导向、力求务实管用，坚持统筹协调、科学筹划设计，坚持继承创新、体现军队特色，切实在加强军队党内监督、党的问责工作上立规明矩，立起刚性措施。两个《规定》的印发施行，对进一步规范军队各级党委、纪委履行管党治党主体责任和监督责任，推进军队正风肃纪反腐向纵深发展，具有重要意义。《军队实施党内监督的规定》着眼监督主体、监督职责、监督措施的有机统一，以监督责任为主轴，区别不同主体，明确监督职责，规范具体制度，建立中央军委统一领导、党委全面监督、纪委专责监督、基层党组织日常监督、党员民主监督的军队党内监督体系。《军队实行党的问责工作规定》围绕有权必有责、有责要担当、失责必追究，完善问责制度，健全问责机制，强化问责落实，规范党组织管党治党政治责任，督促党员领导干部践行忠诚干净担当。,4268162734005810
金融相关,别空仓，别满仓，弄个2-3成仓，喝茶看戏！涨跌随便,4268162579169110
金融相关,我算看明白上证50的作用了，大盘要跌的时候，拉一下，告诉大家老乡别走！大盘要涨的时候，就开始砸盘，想赚钱没门！就是一个搅屎棍指数[怒],4268162004128570
金融相关,发布了头条文章：《A股成交量创逾5个月新低，拐点临近还是另有深意？》,4268161957901300
金融无关,【暖心！暴雨天积水拦路，爷爷淋雨给孙儿撑伞[心]】7月30日，河南许昌正值暴雨天气，路面积水严重，一道路旁有爷孙俩因积水过不去一直在等，爷爷将雨伞 给孙子撑着避免其淋雨，自己却淋着雨。网友：小时候爷爷也是这样给我撑伞的！,4268161605947080
金融相关,上50砸盘，这是稳定吗？,4268161509039770
金融相关,【39家金融机构起诉中城建 涉案金额高达70多亿元】根据中城建披露的59起债券涉诉情况来看，共涉及金融机构39家，合计涉诉金额为76.461亿元。在涉及的39家金融机构中，共有银行21家，涉诉金额为39.5亿元；保险公司7家，涉诉金额为7.65亿元；基金公司5家，涉诉金额为8.3亿元；信托公司3家，涉诉金额为15.2亿元；证券公司3家，涉诉金额为5.811亿元。从单笔涉诉金额来看，兴业信托的12亿元本金数额最大。,4268161249932610
金融相关,苏州四大行：8月1日起房贷不满5年提前还款将收违约金。(苏房网),4268160485749000
金融相关,【市场监管总局密切关注“拼多多”相关报道，上海市工商局已开展调查】市场监管总局：对媒体反映的以及消费者、商标权利人投诉举报的拼多多平台上销售山寨产品、傍名牌等问题，认真开展调查检查，不管是第三方平台还是平台内经营者，只要构成违法，都将依法严肃处理。,4268159517114290
金融相关,【7月份券商百强营业部排名大换血 东方财富拉萨营业部“C位出道”】7月份以来，3030家券商营业部共11298次登上龙虎榜，成交金额1165.5亿元，已占上半年总成交额的四成。与今年上半年相比，排行榜前十位中，有5家营业部守住阵地，其余5家营业部均为实力新进。其中，东方财富证券拉萨金珠西路第二营业部表现亮眼，7月份以来以21.37亿元的成交额“C位出道”，其成交的汉嘉科技、绿色动力、欣锐科技这3只个股金额均超1亿元。,4268157469973270
金融相关,国家市场监督管理总局表态，已要求上海市工商局约谈拼多多，对大家投诉举报的拼多多平台上销售山寨产品、傍名牌等问题，认真开展调查检查，不管是第三方平台还是平台内经营者，只要构成违法，都将依法严肃处理。,4268157381849850
金融相关,【市场监管总局密切关注媒体有关“拼多多”的报道 上海市工商局已开展调查】#拼多多 侵权假冒缠身#市场监管总局1日消息，国家市场监督管理总局网监司高度重视媒体反映的拼多多平台上销售侵权假冒商品等问题，已经要求上海市工商局约谈平台经营者，并要求上海市和其他相关地方工商、市场监管部门，对媒体反映的以及消费者、商标权利人投诉举报的拼多多平台上销售山寨产品、傍名牌等问题，认真开展调查检查，不管是第三方平台还是平台内经营者，只要构成违法，都将依法严肃处理。,4268157282100350
金融无关,#我和军队的不解之缘#【军歌嘹亮庆八一】百听不厌是军号，常唱不衰是军歌，本色不褪是军装，终生不悔是军旅，风雨不动是军旗，永远不变是军魂！看三军战士真情演绎经典军歌，百听不厌！关于军歌，你是“达人”还是“小白”？参与互动，还有奖品等你拿！,4268156702888090
金融无关,【档案君丨人民军队诞生记】1927年8月1日，中国共产党独立领导的南昌起义爆发，打响了中国共产党武装反抗国民党反动派的第一枪，标志着中国共产党独立领导革命战争、创建人民军队和武装夺取政权的开始。,4268156295862910
金融相关,国家市场监管总局：密切关注媒体有关“拼多多”的报道 上海市工商局已开展调查。,4268155876259140
金融相关,A股成交量创逾5个月新低，拐点临近还是另有深意？(同步自@新浪看点 ),4268155217564150
金融相关,发表了博文《A股成交量创逾5个月新低，拐点临近还是另有深意？》A股成交量创逾5个月新低，拐点临近还是另有深意？成交量能的变化，往往代表着当前市场的信心高低。然而，经历了一轮深度调整之后，A股市场的成交,4268154677307720
金融无关,海洲实话：对外籍人士处罚“一视同仁”的同时还应做好这两点,4268154023298230
金融相关,海洲实话：提防外籍人士在境外是“好孩子”到A股成“坏孩子”,4268153779173090
金融相关,【监管函频频“叩门”珠峰保险 上半年公司净亏7196万元】刚成立两年有余的珠峰财产保险公司正面临成长的烦恼。公开信息显示，今年该公司总公司及其分公司至少已经接到3份监管函，其中两份针对产品开发管理的问题，这暴露出其在产品开发管理以及内控管理、合规经营意识等方面存在不少问题。同时，该公司在年初发生高层人事变动，前总裁被解聘，到二季度偿付能力报告截止日，新任总裁人选仍未公布，由董事长临时代行总裁职责。,4268153695061260
金融相关,海洲实话：对违法违规行为 《证券法》存在处罚不力问题,4268153623724360
金融无关,海洲实话：对黄炳文60万元处罚属于“一视同仁”,4268153494754290
金融相关,人民日报海外版旗下公号侠客岛解读政治局会议：财政政策和货币政策微调，对冲经济下行的压力。,4268153263383980
金融无关,相约10:30中央人民广播电台经济之声，谈谈2691是重要低点,4268153230350590
金融无关,#行进长江经济带#【6句话了解“水中大熊猫”中华鲟】1、它个头大，能长到两米多长、500多斤，寿命跟人差不多。2、野生中华鲟婴儿时期就顺江而下出海，十几岁成年后，又在茫茫大海中找到长江口，溯游到自己出生地，产卵后再返回大海。3、滥捕滥捞、化工污染等，让中华鲟面临生存危机。它的野生种群极少，且雌雄比达7：1以上。4、目前得到确认的中华鲟产卵场仅葛洲坝坝下一处。5、现在已经人工繁育出中华鲟“子二代”，并通过增殖放流，帮中华鲟恢复野生种群。6、中华鲟依然很危险！我们要保护长江母亲河，别让这些珍稀鱼类灭绝！（记者陈玉明、金立旺）,4268153066641320
金融相关,开盘一小时点评：今日早盘，受昨天最高指示6个稳利好影响，早盘大盘高开冲高上试2900点左右的压力后回落，呈现震荡走势格局。早间看盘已经分析了，三大制约股市的影响，陆续在改善，有积极的方面和内容，如财政实施积极财政，扩大基建投资，暂缓CDR进程等，国内这块望好的方向再 变，唯一不确定性就是中美贸易问题，总体看大盘暂时不会再度大跌，区间震荡等待消息明确是主要走势。今天大盘冲高回落再拉高的面大，个股适当关注西部开发和建设题材，一带一路和自贸区等区域板块，跟着游资炒地图！,4268152869236410
金融相关,【“阜兴系”抽身华闻传媒引问询，公司称无碍17亿收购进程】“阜兴系事件给公司带来很大的压力。”7月31日，华闻传媒证券部一位工作人员坦言。“目前，公司经营正常，收购车音智能60%股份事宜也进展顺利，第一笔款项已经打过去了。收购标的也正在办理工商变更过程当中。”¡查看图片,4268152487662030
金融相关,#上证快讯#【在岸人民币兑美元汇率上涨逾300点】8月1日，在岸人民币兑美元开盘后快速上行。截至10点02分，在岸人民币兑美元汇率跳升375点，报6.7880。,4268152257075890
金融相关,#同心共筑强军梦#【向前！向前！向前！】这是一支英雄的连队，老连长“杨根思”是电影《英雄儿女》中王成的原型之一；这是一支屡担重任的铁血之师，朱巴维和、汶川救灾都有他们身影。今天，一起走进这群最可爱的人。和平年代，感谢守护！#我和军队的不解之缘#@人民网河南频道,4268151392877630
金融相关,国务院总理李克强：所有问题疫苗要一查到底水落石出,4268151275553020
金融无关,【支付江湖风云录：被二维码碾压的ATM与POS机怎么样了】ATM增长量从2016年出现断崖式下降，年增量从25.18万台跌至5.75万台，而2017年全年增长甚至仅有3.64万台，且主要增量在农村等地区。ATM新三板挂牌公司维珍创意2017年年报显示，其营业收入下降六成，净利润下降九成仅有303万元[摊手]你有多久没去ATM机存取现金了，你有多久没有刷过银行卡了？,4268150956712000
金融无关,【年内已有14位信托“将帅”履新 股权更迭成高管变动“主流”因素】7月份以来，信托公司高管密集变动成为业内的新热点。日前，华鑫信托新任董事长褚玉任职资格获批，成为7月份第三家传出高管变动消息的信托公司。《证券日报》记者观察，目前信托行业进入高管密集变动期，其中，信托公司股权变动是今年来高管频繁更替的主要原因。,4268149924706620
金融相关,【多地上调房贷利率 有地方首套房利率上浮50% 全国首房贷连涨18个月】自2017年以来，全国的房贷利率连续上调，从基准利率的八折优惠到上浮20%或30%，有些地方的首套房贷利率甚至上浮了50%，即7.35%左右。针对这种情况，中原地产首席分析师张大伟认为，本轮房贷利率上调，是从一个历史低位开始的，与之前的数据对比，现在仍处在一个中等水平。中信建投房地产首席分析师陈慎预测，房贷利率未来仍有可能上调，但涨幅最快的阶段已经过去，上涨幅度会相对缓和。（中新网）,4268149497559360
金融无关,7月31日媒体沟通会，黄铮原本并不在出席名单中。下午5时许媒体陆续离开，在撤回路上，接到通知“黄峥赶回来了”，记者们纷纷重返沟通会现场。这一次，黄峥用了近两个小时，逐个再次回答记者提问。黄峥呼吁要分清楚事情的性质，有的是对错问题，有的是利益问题，山寨不是假货。,4268149291583060
金融相关,【二线城市房贷利率远超一线，房地产调控冷热交汇】21世纪经济报道记者调查多个热点城市的银行和房地产中介发现，到目前为止，房地产市场并未明显放松，房贷额度仍然紧张，且部分二线热点城市还在加强调控力度，贷款利率也多超过一线城市。,4268148599047550
金融相关,【关税压力让宝洁也扛不住了：纸尿裤等产品北美全线涨价】随着进口纸浆价格大涨，宝洁加入了可口可乐和惠而浦的行列，宣布北美市场的帮宝适售价提高4%，知名卫生纸品牌将涨价5%，还考虑对美国以外的市场及其他品牌进行提价。而此前多年，宝洁则在降价或者提供大幅折扣。来源：华尔街见闻,4268148218072130
金融相关,【干货解读：中央政治局会议透露出下半年经济工作哪些重大信息】天风策略表示，“遏制房价”几个字在之前的政治局会议很少直接出现；这次说的是“遏制上涨”，去掉了“过快”两个字，态度坚决。地产仍然是重点调控领域。更多解读>>>,4268147479702810
金融无关,【56种解放军佩戴的臂章，你都认识吗？】小小臂章，尽展国防和军队改革新风貌。枪、铁锚、飞翅、导弹分别象征哪个军种？哪些部门的主标志是“八一”军旗？哪些单位的主标志是红黄双色“八一”五星军徽？…今天，八一建军节，56种解放军臂章全系列，教你认清楚。@人民日报,4268146456418110
金融相关,【新华社：培育住房租赁市场开了好头但仍需加把劲】#坚定去杠杆##坚决遏制房价上涨#记者调研发现，为获取高额利润，一些开发商钻政策空子，通过打“擦边球”的方式，变相“以租代售”。在个人租房市场上，房东合同不报备，涨租、租期调整随意性大，发生纠纷租客维权难。政府和企业需再加把劲，从制度建设、金融支持、服务保障等多方面入手，尽快补上短板，实现租售“两条腿”走路。,4268146238221920
金融相关,【上交所减免部分项目收费】上海证券交易所昨日发布通知，决定自8月1日起继续暂免总股本4亿股（含）以下上市公司上市初费和上市年费，暂免期延长至2020年12月31日；同时，债券现券交易收费标准统一为成交金额的0.0001%（双向），最高不超过100元/笔。,4268146145323120
金融无关,财联社8月1日讯，在岸人民币兑美元收复6.8关口，涨逾100点，现报6.7993。,4268145730193910
金融无关,#民民直播#【“国际军事比赛-2018”进入第三个比赛日】#国际军事比赛#“苏沃洛夫突击”步战车组单车赛第二组比赛开赛！该比赛项目考核的是步战车组机动越野和精确射击。在规定距离条件下，步战车组越过防坦克壕、车辙桥、起伏路段、崖壁等障碍，依次完成火炮、机枪射击。.,4268145470795950
金融无关,7月财新中国制造业PMI录得50.8，较上月降低0.2个百分点，为八个月以来最低。这一走势与国家统计局制造业PMI一致。国家统计局公布的7月制造业PMI 录得51.2，低于上月0.3个百分点。,4268144358897960
金融相关,【深圳打响楼市个人限卖第一枪 限售限离限企业买房】深圳楼市重度调控消息今日坐实！四大调控重点怕是让很多人坐不住了！重点一：单位不能购买住宅；重点二：新供应用地的商务公寓只租不售，新政后购买的商务公寓5年限售；重点三：新政后个人购房3年限售，之前买的不受限制；重点四：离婚2年内买房，实施差别化按揭政策。来源：券商中国,4268143926562860
金融无关,【IPO、并购重组跷跷板：投行业务重心 移】2018年并购重组和IPO审核节奏对比强烈，一边如海水，一边如火焰。,4268143582759840
金融相关,【关税压力让宝洁也扛不住了：纸尿裤等产品北美全线涨价】美东时间周二，日用消费品巨头宝洁（P&G）宣布，已将北美市场的帮宝适（Pampers）产品提价4%， Bounty、Charmin、Puffs这三大纸巾品牌的售价将平均上调5%。宝洁还考虑是否对美国以外的市场及其他品牌的产品进行提价，范围可能扩大至剃须膏、牙膏等。,4268143390382760
金融相关,【国资投资运营公司组建将提速 不设股东会】业内人士认为，改革国有资本授权经营体制，有利于真正确立国有企业的市场主体地位，推进国有资产监管机构职能 变，适应市场化、现代化、国际化新形势和经济发展新常态，不断增强国有经济活力、控制力、影响力和抗风险能力。,4268142412242150
金融相关,【第三方支付全牌照价格高达30亿，银行卡位B端争份额】移动支付如火如荼的发展，第三方移动支付牌照价格水涨船高，已经30亿难求。,4268142094215170
金融相关,今日中信保诚基金发布公告，31日起对旗下基金持有的“ST长生”按照每股0元进行估值。事实上，这已是中信保诚基金第三次调低ST长生估值。7月25日，中信保诚基金将“长生生物”股价按照7.71元进行估值，比前一日收盘价调低34.38%，相当于给出4个跌停。,4268142082124410
金融相关,【8月轮胎涨价第一枪】7月31日玛吉斯发布涨价通知单，显示由于受轮胎市场变动影响，公司决定对TBR产品价格进行上调。并于2018年8月1日起执行。通知单显示，玛吉斯上调轮胎价格原因主要是受轮胎市场变动的影响。当今轮胎市场，原材料价格起起伏伏很不稳定，环保督查持续加大，国际贸易环境加剧国外双反还在持续，从而影响轮胎价格。,4268141905956490
金融相关,【黄金乐观情绪不断积聚】美国经济自进入二季度以来稳健增长，大大提升美联储后半年再加息两次的可能性，但本月例会并非美联储的加息时点，可能性相对较大的是9月和12月的议息会议，美联储或将在会后声明中表示，经济增长强劲且通胀率正迈向其2%的目标，并明确表示更多的加...,4268141863297110
金融相关,【钢厂拉涨100！期螺再刷年高 钢价有望“红8月”】7月31日，黑色系商品期货涨跌互现，其中螺纹钢、热卷主力合约较为强势，焦炭合约相对较弱，除热卷合约小幅增仓外，其余品种均减仓，以螺纹钢、铁矿合约减仓最为明显。由于环保影响，盘面利润再度扩大。现货方面，昨日品种...,4268141842117080
金融无关,#我和军队的不解之缘#【祖国“四极”哨兵送来八一祝福】黑瞎子岛东极哨所，西沙中建岛，斯姆哈纳边防连，北极哨所……他们在这里驻守！致敬，中国军人！#同心共筑强军梦#,4268141570169020
金融相关,房地产板块受政策冲击，早盘大跌！炒房的来炒股吧,4268141306052730
金融相关,#上证快讯#【三大股指集体高开 房地产板块跌幅居前】A股三大股指周三集体高开。盘面上，行业板块多数飘红，建筑装饰、钢铁、建材板块涨幅居前；房地产板块开盘领跌。,4268141112827850
