emotion,weibo_content,weibo_id
中性,【国家药监局：会同多部门组成核查组赴武汉核查百白破疫苗处置工作】#狂犬疫苗生产记录造假##百白破疫苗造假#8月1日，按照国务院要求，国家药监局会同卫生健康委等部门，赴武汉就武汉生物制品研究所有限责任公司（简称武汉生物）2017年效价不合格百白破疫苗处置工作开展核查。,4268168606250600
中性,收摊！不知道怎么点评上午走势了，你们说吧。,4268168338192150
中性,【预期股指期货交易松绑 量化对冲私募欲发产品扩规模】对于监管层表态抓紧恢复股指期货常态化交易的新闻，有不少私募表示应该开始策划量化策略产品方案了，如磐耀资产辜若飞在朋友圈表示，“有代销能力的期货公司看过来，磐耀资产接下来将会发行一款混合策略的产品”。,4268165188124220
中性,【中央军委印发《军队实施党内监督的规定》《军队实行党的问责工作规定》】新华社北京8月1日电日前，中央军委印发《军队实施党内监督的规定》《军队实行党的问责工作规定》，自2018年8月1日起施行。两个《规定》以习近平新时代中国特色社会主义思想为指导，全面贯彻习近平强军思想，着眼实现党在新时代的强军目标，深入推进政治建军、改革强军、科技兴军、依法治军，聚焦全面从严治党，坚持旗帜引领、把握根本遵循，坚持问题导向、力求务实管用，坚持统筹协调、科学筹划设计，坚持继承创新、体现军队特色，切实在加强军队党内监督、党的问责工作上立规明矩，立起刚性措施。两个《规定》的印发施行，对进一步规范军队各级党委、纪委履行管党治党主体责任和监督责任，推进军队正风肃纪反腐向纵深发展，具有重要意义。《军队实施党内监督的规定》着眼监督主体、监督职责、监督措施的有机统一，以监督责任为主轴，区别不同主体，明确监督职责，规范具体制度，建立中央军委统一领导、党委全面监督、纪委专责监督、基层党组织日常监督、党员民主监督的军队党内监督体系。《军队实行党的问责工作规定》围绕有权必有责、有责要担当、失责必追究，完善问责制度，健全问责机制，强化问责落实，规范党组织管党治党政治责任，督促党员领导干部践行忠诚干净担当。,4268162734005810
中性,别空仓，别满仓，弄个2-3成仓，喝茶看戏！涨跌随便,4268162579169110
负面,我算看明白上证50的作用了，大盘要跌的时候，拉一下，告诉大家老乡别走！大盘要涨的时候，就开始砸盘，想赚钱没门！就是一个搅屎棍指数[怒],4268162004128570
中性,发布了头条文章：《A股成交量创逾5个月新低，拐点临近还是另有深意？》,4268161957901300
正面,【暖心！暴雨天积水拦路，爷爷淋雨给孙儿撑伞[心]】7月30日，河南许昌正值暴雨天气，路面积水严重，一道路旁有爷孙俩因积水过不去一直在等，爷爷将雨伞 给孙子撑着避免其淋雨，自己却淋着雨。网友：小时候爷爷也是这样给我撑伞的！,4268161605947080
中性,【39家金融机构起诉中城建 涉案金额高达70多亿元】根据中城建披露的59起债券涉诉情况来看，共涉及金融机构39家，合计涉诉金额为76.461亿元。在涉及的39家金融机构中，共有银行21家，涉诉金额为39.5亿元；保险公司7家，涉诉金额为7.65亿元；基金公司5家，涉诉金额为8.3亿元；信托公司3家，涉诉金额为15.2亿元；证券公司3家，涉诉金额为5.811亿元。从单笔涉诉金额来看，兴业信托的12亿元本金数额最大。,4268161249932610
中性,国家市场监督管理总局表态，已要求上海市工商局约谈拼多多，对大家投诉举报的拼多多平台上销售山寨产品、傍名牌等问题，认真开展调查检查，不管是第三方平台还是平台内经营者，只要构成违法，都将依法严肃处理。,4268157381849850
中性,【市场监管总局密切关注媒体有关“拼多多”的报道 上海市工商局已开展调查】#拼多多 侵权假冒缠身#市场监管总局1日消息，国家市场监督管理总局网监司高度重视媒体反映的拼多多平台上销售侵权假冒商品等问题，已经要求上海市工商局约谈平台经营者，并要求上海市和其他相关地方工商、市场监管部门，对媒体反映的以及消费者、商标权利人投诉举报的拼多多平台上销售山寨产品、傍名牌等问题，认真开展调查检查，不管是第三方平台还是平台内经营者，只要构成违法，都将依法严肃处理。,4268157282100350
中性,#我和军队的不解之缘#【军歌嘹亮庆八一】百听不厌是军号，常唱不衰是军歌，本色不褪是军装，终生不悔是军旅，风雨不动是军旗，永远不变是军魂！看三军战士真情演绎经典军歌，百听不厌！关于军歌，你是“达人”还是“小白”？参与互动，还有奖品等你拿！,4268156702888090
中性,【档案君丨人民军队诞生记】1927年8月1日，中国共产党独立领导的南昌起义爆发，打响了中国共产党武装反抗国民党反动派的第一枪，标志着中国共产党独立领导革命战争、创建人民军队和武装夺取政权的开始。,4268156295862910
中性,海洲实话：对外籍人士处罚“一视同仁”的同时还应做好这两点,4268154023298230
中性,海洲实话：提防外籍人士在境外是“好孩子”到A股成“坏孩子”,4268153779173090
中性,【监管函频频“叩门”珠峰保险 上半年公司净亏7196万元】刚成立两年有余的珠峰财产保险公司正面临成长的烦恼。公开信息显示，今年该公司总公司及其分公司至少已经接到3份监管函，其中两份针对产品开发管理的问题，这暴露出其在产品开发管理以及内控管理、合规经营意识等方面存在不少问题。同时，该公司在年初发生高层人事变动，前总裁被解聘，到二季度偿付能力报告截止日，新任总裁人选仍未公布，由董事长临时代行总裁职责。,4268153695061260
中性,海洲实话：对黄炳文60万元处罚属于“一视同仁”,4268153494754290
中性,人民日报海外版旗下公号侠客岛解读政治局会议：财政政策和货币政策微调，对冲经济下行的压力。,4268153263383980
中性,相约10:30中央人民广播电台经济之声，谈谈2691是重要低点,4268153230350590
中性,#行进长江经济带#【6句话了解“水中大熊猫”中华鲟】1、它个头大，能长到两米多长、500多斤，寿命跟人差不多。2、野生中华鲟婴儿时期就顺江而下出海，十几岁成年后，又在茫茫大海中找到长江口，溯游到自己出生地，产卵后再返回大海。3、滥捕滥捞、化工污染等，让中华鲟面临生存危机。它的野生种群极少，且雌雄比达7：1以上。4、目前得到确认的中华鲟产卵场仅葛洲坝坝下一处。5、现在已经人工繁育出中华鲟“子二代”，并通过增殖放流，帮中华鲟恢复野生种群。6、中华鲟依然很危险！我们要保护长江母亲河，别让这些珍稀鱼类灭绝！（记者陈玉明、金立旺）,4268153066641320
中性,开盘一小时点评：今日早盘，受昨天最高指示6个稳利好影响，早盘大盘高开冲高上试2900点左右的压力后回落，呈现震荡走势格局。早间看盘已经分析了，三大制约股市的影响，陆续在改善，有积极的方面和内容，如财政实施积极财政，扩大基建投资，暂缓CDR进程等，国内这块望好的方向再 变，唯一不确定性就是中美贸易问题，总体看大盘暂时不会再度大跌，区间震荡等待消息明确是主要走势。今天大盘冲高回落再拉高的面大，个股适当关注西部开发和建设题材，一带一路和自贸区等区域板块，跟着游资炒地图！,4268152869236410
中性,【“阜兴系”抽身华闻传媒引问询，公司称无碍17亿收购进程】“阜兴系事件给公司带来很大的压力。”7月31日，华闻传媒证券部一位工作人员坦言。“目前，公司经营正常，收购车音智能60%股份事宜也进展顺利，第一笔款项已经打过去了。收购标的也正在办理工商变更过程当中。”¡查看图片,4268152487662030
中性,#上证快讯#【在岸人民币兑美元汇率上涨逾300点】8月1日，在岸人民币兑美元开盘后快速上行。截至10点02分，在岸人民币兑美元汇率跳升375点，报6.7880。,4268152257075890
中性,国务院总理李克强：所有问题疫苗要一查到底水落石出,4268151275553020
中性,【年内已有14位信托“将帅”履新 股权更迭成高管变动“主流”因素】7月份以来，信托公司高管密集变动成为业内的新热点。日前，华鑫信托新任董事长褚玉任职资格获批，成为7月份第三家传出高管变动消息的信托公司。《证券日报》记者观察，目前信托行业进入高管密集变动期，其中，信托公司股权变动是今年来高管频繁更替的主要原因。,4268149924706620
中性,【多地上调房贷利率 有地方首套房利率上浮50% 全国首房贷连涨18个月】自2017年以来，全国的房贷利率连续上调，从基准利率的八折优惠到上浮20%或30%，有些地方的首套房贷利率甚至上浮了50%，即7.35%左右。针对这种情况，中原地产首席分析师张大伟认为，本轮房贷利率上调，是从一个历史低位开始的，与之前的数据对比，现在仍处在一个中等水平。中信建投房地产首席分析师陈慎预测，房贷利率未来仍有可能上调，但涨幅最快的阶段已经过去，上涨幅度会相对缓和。（中新网）,4268149497559360
中性,7月31日媒体沟通会，黄铮原本并不在出席名单中。下午5时许媒体陆续离开，在撤回路上，接到通知“黄峥赶回来了”，记者们纷纷重返沟通会现场。这一次，黄峥用了近两个小时，逐个再次回答记者提问。黄峥呼吁要分清楚事情的性质，有的是对错问题，有的是利益问题，山寨不是假货。,4268149291583060
中性,【二线城市房贷利率远超一线，房地产调控冷热交汇】21世纪经济报道记者调查多个热点城市的银行和房地产中介发现，到目前为止，房地产市场并未明显放松，房贷额度仍然紧张，且部分二线热点城市还在加强调控力度，贷款利率也多超过一线城市。,4268148599047550
中性,【关税压力让宝洁也扛不住了：纸尿裤等产品北美全线涨价】随着进口纸浆价格大涨，宝洁加入了可口可乐和惠而浦的行列，宣布北美市场的帮宝适售价提高4%，知名卫生纸品牌将涨价5%，还考虑对美国以外的市场及其他品牌进行提价。而此前多年，宝洁则在降价或者提供大幅折扣。来源：华尔街见闻,4268148218072130
中性,【干货解读：中央政治局会议透露出下半年经济工作哪些重大信息】天风策略表示，“遏制房价”几个字在之前的政治局会议很少直接出现；这次说的是“遏制上涨”，去掉了“过快”两个字，态度坚决。地产仍然是重点调控领域。更多解读>>>,4268147479702810
中性,【56种解放军佩戴的臂章，你都认识吗？】小小臂章，尽展国防和军队改革新风貌。枪、铁锚、飞翅、导弹分别象征哪个军种？哪些部门的主标志是“八一”军旗？哪些单位的主标志是红黄双色“八一”五星军徽？…今天，八一建军节，56种解放军臂章全系列，教你认清楚。@人民日报,4268146456418110
中性,7月财新中国制造业PMI录得50.8，较上月降低0.2个百分点，为八个月以来最低。这一走势与国家统计局制造业PMI一致。国家统计局公布的7月制造业PMI 录得51.2，低于上月0.3个百分点。,4268144358897960
中性,【深圳打响楼市个人限卖第一枪 限售限离限企业买房】深圳楼市重度调控消息今日坐实！四大调控重点怕是让很多人坐不住了！重点一：单位不能购买住宅；重点二：新供应用地的商务公寓只租不售，新政后购买的商务公寓5年限售；重点三：新政后个人购房3年限售，之前买的不受限制；重点四：离婚2年内买房，实施差别化按揭政策。来源：券商中国,4268143926562860
中性,【IPO、并购重组跷跷板：投行业务重心 移】2018年并购重组和IPO审核节奏对比强烈，一边如海水，一边如火焰。,4268143582759840
中性,【关税压力让宝洁也扛不住了：纸尿裤等产品北美全线涨价】美东时间周二，日用消费品巨头宝洁（P&G）宣布，已将北美市场的帮宝适（Pampers）产品提价4%， Bounty、Charmin、Puffs这三大纸巾品牌的售价将平均上调5%。宝洁还考虑是否对美国以外的市场及其他品牌的产品进行提价，范围可能扩大至剃须膏、牙膏等。,4268143390382760
中性,【国资投资运营公司组建将提速 不设股东会】业内人士认为，改革国有资本授权经营体制，有利于真正确立国有企业的市场主体地位，推进国有资产监管机构职能 变，适应市场化、现代化、国际化新形势和经济发展新常态，不断增强国有经济活力、控制力、影响力和抗风险能力。,4268142412242150
中性,【第三方支付全牌照价格高达30亿，银行卡位B端争份额】移动支付如火如荼的发展，第三方移动支付牌照价格水涨船高，已经30亿难求。,4268142094215170
中性,今日中信保诚基金发布公告，31日起对旗下基金持有的“ST长生”按照每股0元进行估值。事实上，这已是中信保诚基金第三次调低ST长生估值。7月25日，中信保诚基金将“长生生物”股价按照7.71元进行估值，比前一日收盘价调低34.38%，相当于给出4个跌停。,4268142082124410
中性,【8月轮胎涨价第一枪】7月31日玛吉斯发布涨价通知单，显示由于受轮胎市场变动影响，公司决定对TBR产品价格进行上调。并于2018年8月1日起执行。通知单显示，玛吉斯上调轮胎价格原因主要是受轮胎市场变动的影响。当今轮胎市场，原材料价格起起伏伏很不稳定，环保督查持续加大，国际贸易环境加剧国外双反还在持续，从而影响轮胎价格。,4268141905956490
中性,【钢厂拉涨100！期螺再刷年高 钢价有望“红8月”】7月31日，黑色系商品期货涨跌互现，其中螺纹钢、热卷主力合约较为强势，焦炭合约相对较弱，除热卷合约小幅增仓外，其余品种均减仓，以螺纹钢、铁矿合约减仓最为明显。由于环保影响，盘面利润再度扩大。现货方面，昨日品种...,4268141842117080
中性,房地产板块受政策冲击，早盘大跌！炒房的来炒股吧,4268141306052730
正面,#上证快讯#【三大股指集体高开 房地产板块跌幅居前】A股三大股指周三集体高开。盘面上，行业板块多数飘红，建筑装饰、钢铁、建材板块涨幅居前；房地产板块开盘领跌。,4268141112827850
中性,【P2P爆雷频发背后的危与机：进一步“上市”、退一步“跑路”】‘’上市有两大好处，一是可以融资做大业务、增大品牌影响力，并可以利用资本市场背书，二是可以在此基础上，当备案制度正式落地时，可以对一些面临困境的互金企业实施并购。”,4268140642941520
中性,【开盘：两市小幅高开沪指涨0.21% 自由贸易港板块领涨】截至今天开盘，沪指报2882.51点，涨0.21%，深成指报9205.75点，涨0.29%，创指报1568.12点，涨0.44%。从盘面上看，自由贸易港、物流、水泥居板块涨幅榜前列，公交、非汽车交运、酒店及餐饮居板块跌幅榜前列。,4268140358052310
中性,现阶段内再次推迟CDR发行，一方面可能会考虑到国内资本市场的自身承受能力，若继续加快CDR发行，恐怕以当前存量资金作为主导的市场环境也难以抵御大规模的募资抽血压力，市场加快下行可能很难避免；另一方面则可能考虑到国内金融市场“防风险、守底线”的政策底线，而过快引导CDR的发行，却不充分考虑市场自身的承受能力，那么金融市场发生局部系统风险的可能性还是会存在的。,4268139862931590
中性,【开盘：两市小幅高开沪指涨0.21% 自由贸易港板块领涨】今日两市小幅高开，截止今天开盘，沪指报2882.51点，涨0.21%，深成指报9205.75点，涨0.29%，创指报1568.12点，涨0.44%。从盘面上看，自由贸易港、物流、水泥居板块涨幅榜前列，公交、非汽车交运、酒店及餐饮居板块跌幅榜前列。,4268139741646500
中性,【新华社：培育住房租赁市场开了好头但仍需加把劲】财联社8月1日讯，今年以来，全国各地大力推进住房租赁政策的细化落实，市场发展取得重大突破。但也要看到，我国住房租赁市场还不够成熟，很多变革都还只是刚刚起步。加快培育住房租赁市场，是实现“住有所居”，建立促进房地产市场平稳健康发展长效机制的重要内容之一。政府和企业需再加把劲，从制度建设、金融支持、服务保障等多方面入手，尽快补上短板，实现租售“两条腿”走路。,4268139157849940
中性,海通姜超团队发文点评政治局会议称，会议对经济的评价发生了明显变化，措辞由相对乐观变相对谨慎。未来绝非再次大水漫灌，而是坚定不移去杠杆，积极财政将是经济托底的主要手段。会议同时表达了抑制地产泡沫和加大改革开放力度的决心，这意味着不会重走举债投资、地产泡沫的老路，而是会 向靠改革开放和创新发展。如果这一切能够落实，那么未来中国经济依然充满希望。,4268138482527520
中性,【被二维码碾压的ATM与POS机怎么样了，支付江湖风云录】21世纪经济报道记者统计，在2010年到2015年间，POS终端的年增速始终在45%左右。值得注意的是，2016年，这一增速骤降至7.5%。,4268138155998940
中性,天成控股复牌跌停开盘。,4268137970812330
中性,高开6.11点，看看是否走开门红！关注黄白线关系，队形正确的话，择机加点仓！,4268137887715810
中性,【电子竞技迎来繁荣时代，中国战队斩获《绝地求生》世界冠军】乘着电子竞技产业的东风，“吃鸡游戏”在火爆一年半之后，又凭借举办国际赛事再上新台阶，而中国战队骄傲夺冠，也向世界证明了中国电竞的实力。,4268137425475500
中性,【下半年经济形势怎样 读懂政治局会议是关键】在稳预期方面，会议最重要的表态是“坚决遏制房价上涨”和“下决心解决好房地产市场问题”，依然十分坚决，引导大家对“房住不炒”的合理预期，不能因为宏观经济政策的些许放松，就拿资金去买地、炒房。另一方面，会议继续表态将“加快建立促进房地产市场平稳健康发展长效机制”，有哪些长效机制推出立，也是大家十分期待的举措。来源：人民日报海外版,4268137342458460
中性,"【沪胶9-1价差及期权策略探讨】沪胶的9-1价差由于波动剧烈，每年都是套利交易的重头戏，尤其是去年遇到轮储炒作以及期货拉升，9-1价差最高到3500左右。今年9-1价差从1月份开出来就是1800左右，明显高于往年，随后逐渐走阔到最高2200左右,然6月随着20号胶立项通过9-1价差波...",4268136784598500
中性,【专家深夜挑灯研读！中央政治局会议透露出下半年经济工作哪些重大信息】7月31日召开的中共中央政治局会议分析研究了当前经济形势，对下半年经济工作进行了部署。上证报记者加班加点，连夜采访了多位专家，对会议传递出的多项政策信息进行了解读。上海证券报微信公众号(ID：shzqbwx)，未经授权，不得 载，否则追究法律责任！,4268136771450700
正面,【太燃了！听百名兵哥哥唱《强军战歌》[心]】你听过这么多兵哥哥和小姐姐们唱歌吗？这气势太帅了！不知不觉地就跟着唱了起来！#我和军队的不解之缘#↓↓哪有什么岁月静好，不过有人负重前行。致敬！[心],4268136360574720
中性,【机构调仓换股捕捉八月机会 六大行业组合攻守兼备】经历一轮反弹行情后，A股市场开始分化，局部热点重新活跃，业内人士普遍认为，随着8月份的到来，在中报业绩大规模披露之际，新的主题投资机会或将出现，值此调仓换股之际，招商证券、广发证券、中金公司等机构也纷纷发布8月份策略报告，对8月份的配置机会给出自己的建议。其中，招商证券就表示，进入8月份，市场风险偏好有望继续提升，机会将会明显增多。,4268136083273460
中性,【前海人寿盈利承压进驻城商行，11亿港元买入九江银行逾亿股】以紧随超额配股权获部分行使后的H股计，前海人寿时值持股九江银行的H股约在25.69%。总体而言，前海人寿所持这部分股权占九江银行已发行股本的4.35%。,4268136070997460
中性,【塑料震荡回调，关注9350附近支撑】本周塑料期货1809合约回调至9250附近后震荡反弹，最高逼近9500，随后小幅回落，截至7月26日，期价收于9430，下跌20，跌幅0.21%，持仓量增加9622手至277524手，成交量增加至154046手。,4268135832451890
中性,财联社8月1日讯，人民币兑美元中间价设在1美元兑 6.8293 元人民币，人民币贬值128点，中间价贬值至2017年5月31日以来最低。,4268135504717340
中性,#上证4小时#【监管与新版正面清单正细化 跨境电商零售进口新政呼之欲出】从业内获悉，随着过渡期即将在今年年底再度到期，商务部等相关部门正紧锣密鼓制定过渡期后政策，监管新政在此前的“48新政”基础上将做较大改动，政策思路大方向上将更加适应跨境电商进口特点，包括研究出台适合跨境电商零售进口有别于一般贸易进口的单证等通关举措、以及制定更具灵活性的正面清单等。请点击链接：,4268134711699890
中性,【维持宽松但允许收益率浮动，日本央行政策微调抗通缩】万众瞩目的日本央行利率决议并未带来太多惊喜，该行依然维持宽松货币政策框架，但值得注意的是，它对局部细节进行了微调，宣布数项举措，以便更好地打一场抗击“通缩”的持久战。,4268134364148970
中性,#上证4小时#【世界机器人大会即将启幕 哪些A股公司登台？】由北京市政府、工信部、中国科学技术协会主办的2018世界机器人大会将于8月15日至19日在北京亦庄举行，其中，主论坛安排在8月16日至18日。作为中国机器人领域的顶级盛会，大会将云集行业领军企业、院校专家、投资机构等众多业内人士和最新技术产品。具体有哪些A股公司登台？请点击链接：,4268134116863240
中性,【7月份10大牛股榜出炉 涨幅均超45%两大特征明显】《证券日报》市场研究中心根据同花顺数据统计发现，剔除7月份上市的次新股，部分个股在市场持续震荡中率先企稳反弹成为焦点，具体来看，锐科激光、斯太尔、丹邦科技、彤程新材、成都路桥、通产丽星、赫美集团、神开股份、天成控股、欣龙控股等10只牛股月内累计涨幅居前，均在45%以上。,4268133566716810
中性,【8家企业IPO受挫急 并购，监管关切被否原因、整改结果】前七个月共有8家并购标的曾有独立上市计划，其中4家则是新冲刺A股的企业，在2017-2018年间首发上市未果。,4268132321527510
中性,期指交易常态化 A股T 0是否该提上议事日程(同步自@新浪看点 ),4268131868453630
中性,#上证4小时#【苹果收入再现两位数增长 美股盘后股价大涨】7月31日公布的财报显示，苹果公司连续四个季度实现两位数收入增长。受亮眼财报提振，当日美股盘后交易时段，苹果公司股价上涨超过3.6%。请点击链接：,4268131394800330
中性,【行业基本面向好凸显配置价值 11只人工智能绩优股昨吸金3098.80万元】分析人士普遍认为，无论是从最近几个月的下跌幅度，还是市场本身的估值水平，亦或是目前即将开启的宏观政策，都在预示着股指在当前位置处于底部区域，长期投资机遇已经出现。对于人工智能板块经过前期深度回调后，板块估值逐渐回归底部区域，具有较高的安全边际，相关绩优龙头股配置价值凸显，值得关注。,4268131054438320
中性,【黑头不是挤挤就能没的，三招教你远离“草莓鼻”！】黑头到底是从哪来？黑头该不该挤？怎么样才能让黑头去无踪？被黑头问题困扰的同学们看过来，关于去黑头，你要了解的知识都在这了，还有三个小妙招教你远离“草莓鼻”！ 发收藏！,4268131050777210
中性,【南京银行140亿定增“罕见”被否，引发市场揣测】140亿定增获得江苏银监局核准，原以为逐级通过会比较顺利，谁也没有想到，一纸公告，定增方案遭证监会否决。问题在于，这是行业现象还是个案呢？,4268130652312390
中性,#中经观点#【经济日报：靠改革激发市场活力】我国经济运行能够实现良好格局，而且经济结构优化升级明显，经济发展质量效益明显提升，都与改革激发市场活力密切相关。做好下半年经济工作，依然需要加快改革，让改革不断激发市场活力。要注重基层创造，着力调动基层积极性。,4268130610313220
中性,【正在直播：京津城际开通十周年——看京津两地如何“同城生活”】2008年8月1日，京津城际铁路正式开通运营。十年来，累计发送旅客2.5亿人次，“半小时工作生活圈”的形成也让两地开启 “同城生活”。京津城际开通十周年之际，新华社记者带你体验高铁带来的改变⬇⬇⬇.,4268130597709270
